id,sentiment
"12311_10",0.5338136553764343
"8348_2",0.46830737590789795
"5828_4",0.556370198726654
"7186_2",0.4740752577781677
"12128_7",0.544739842414856
"2913_8",0.49968695640563965
"4396_1",0.3922722637653351
"395_2",0.49510887265205383
"10616_1",0.38697853684425354
"9074_9",0.4838499128818512
"9252_3",0.4908393919467926
"9896_9",0.5001667737960815
"574_4",0.5563103556632996
"11182_8",0.5121529698371887
"11656_4",0.4884723424911499
"2322_4",0.4435183107852936
"8703_1",0.4864003360271454
"7483_1",0.430880606174469
"6007_10",0.5456193089485168
"12424_4",0.4632475674152374
"4672_1",0.35897576808929443
"10841_3",0.3988025188446045
"8954_7",0.4908285439014435
"7392_1",0.4676929712295532
"10288_8",0.4837343096733093
"5343_4",0.4596584141254425
"4950_1",0.4083671569824219
"9257_4",0.5157696008682251
"8689_3",0.44690608978271484
"4480_2",0.4788047969341278
"9286_10",0.5238403081893921
"12245_10",0.5839529633522034
"7529_7",0.5336429476737976
"4_4",0.49578243494033813
"5299_2",0.402773380279541
"12077_8",0.5093130469322205
"10701_2",0.4094240963459015
"11579_1",0.4116007685661316
"10993_1",0.45966172218322754
"8913_1",0.41320908069610596
"1350_3",0.43828272819519043
"3804_2",0.46987593173980713
"5025_3",0.49742481112480164
"5170_8",0.4839922785758972
"8225_8",0.541471004486084
"6427_7",0.524683952331543
"3165_3",0.5181313753128052
"7902_9",0.5859607458114624
"8208_3",0.40303826332092285
"3577_8",0.5126243233680725
"4865_1",0.48001977801322937
"9063_3",0.5191252827644348
"1106_1",0.4965985417366028
"1117_9",0.5105313062667847
"1050_4",0.49818316102027893
"10755_9",0.523763120174408
"2729_8",0.5297538042068481
"10072_10",0.5111051201820374
"2904_7",0.4774477779865265
"4584_2",0.5289479494094849
"189_4",0.4947894811630249
"6302_4",0.5245204567909241
"8138_9",0.4955398738384247
"1262_1",0.4297979176044464
"2199_10",0.5302681922912598
"6551_7",0.5041913986206055
"8082_7",0.5113183259963989
"4897_8",0.5073862671852112
"7360_1",0.45731180906295776
"11012_10",0.5297468304634094
"12046_1",0.43373504281044006
"2331_2",0.44971877336502075
"8961_9",0.5132906436920166
"751_7",0.5427709817886353
"9884_10",0.5325742959976196
"10016_8",0.5257206559181213
"8023_10",0.5220953226089478
"2628_1",0.4059169292449951
"5832_1",0.46799778938293457
"7302_1",0.43543919920921326
"4501_3",0.47841742634773254
"1121_7",0.44232437014579773
"8334_3",0.5068342685699463
"9789_10",0.46470907330513
